Support,Decent+,Limited,Notes,Category
False,X,,,Keywords
None,X,,,Keywords
True,X,,,Keywords
and,X,,,Keywords
as,X,,,Keywords
assert,,,,Keywords
async,,,,Keywords
await,,,,Keywords
break,X,,,Keywords
class,,,,Keywords
continue,X,,,Keywords
def,,X,Limited type inference,Keywords
del,X,,,Keywords
elif,X,,,Keywords
else,X,,,Keywords
except,,X,Very hacky implementation using the names of Python's exceptions. Not all things will throw exception that would in Python and vice versa. Go was not meant for this. Newly declared variables will not be available outside.,Keywords
finally,,X,Newly declared variables will not be available outside.,Keywords
for,,X,No list comprehension / unpacking support.,Keywords
from,X,,,Keywords
global,,,,Keywords
if,,X,Newly declared variables will not be available outside.,Keywords
import,X,,,Keywords
in,,X,Functions checking for membership may conflict with named variables.,Keywords
is,,,,Keywords
lambda,,X,Limited type inference,Keywords
nonlocal,,,,Keywords
not,X,,,Keywords
or,X,,,Keywords
pass,X,,,Keywords
raise,,X,"No ""raise from"" support yet",Keywords
return,X,,,Keywords
try,,X,Exceptions are incredibly hairy. Newly declared variables will not be available outside.,Keywords
while,,X,Newly declared variables will not be available outside.,Keywords
with,,X,Newly declared variables will not be available outside.,Keywords
yield,,,,Keywords
ArithmeticError,,,,Built-ins
AssertionError,,,,Built-ins
AttributeError,,,,Built-ins
BaseException,,,,Built-ins
BlockingIOError,,,,Built-ins
BrokenPipeError,,,,Built-ins
BufferError,,,,Built-ins
BytesWarning,,,,Built-ins
ChildProcessError,,,,Built-ins
ConnectionAbortedError,,,,Built-ins
ConnectionError,,,,Built-ins
ConnectionRefusedError,,,,Built-ins
ConnectionResetError,,,,Built-ins
DeprecationWarning,,,,Built-ins
EOFError,,,,Built-ins
Ellipsis,,X,Treated like a pass,Built-ins
EncodingWarning,,,,Built-ins
EnvironmentError,,,,Built-ins
Exception,,,,Built-ins
FileExistsError,,,,Built-ins
FileNotFoundError,,,,Built-ins
FloatingPointError,,,,Built-ins
FutureWarning,,,,Built-ins
GeneratorExit,,,,Built-ins
IOError,,,,Built-ins
ImportError,,,,Built-ins
ImportWarning,,,,Built-ins
IndentationError,,,,Built-ins
IndexError,,X,Checks for error prefix matching go's equivalent,Built-ins
InterruptedError,,,,Built-ins
IsADirectoryError,,,,Built-ins
KeyError,,,"Go doesn't raise an exception for this, it returns nil",Built-ins
KeyboardInterrupt,,,,Built-ins
LookupError,,,,Built-ins
MemoryError,,,,Built-ins
ModuleNotFoundError,,,,Built-ins
NameError,,,,Built-ins
NotADirectoryError,,,,Built-ins
NotImplemented,,,,Built-ins
NotImplementedError,,,,Built-ins
OSError,,,,Built-ins
OverflowError,,,,Built-ins
PendingDeprecationWarning,,,,Built-ins
PermissionError,,,,Built-ins
ProcessLookupError,,,,Built-ins
RecursionError,,,,Built-ins
ReferenceError,,,,Built-ins
ResourceWarning,,,,Built-ins
RuntimeError,,X,Checks for error prefix matching go's equivalent,Built-ins
RuntimeWarning,,,,Built-ins
StopAsyncIteration,,,,Built-ins
StopIteration,,,,Built-ins
SyntaxError,,,,Built-ins
SyntaxWarning,,,,Built-ins
SystemError,,,,Built-ins
SystemExit,,,,Built-ins
TabError,,,,Built-ins
TimeoutError,,,,Built-ins
TypeError,,,,Built-ins
UnboundLocalError,,,,Built-ins
UnicodeDecodeError,,,,Built-ins
UnicodeEncodeError,,,,Built-ins
UnicodeError,,,,Built-ins
UnicodeTranslateError,,,,Built-ins
UnicodeWarning,,,,Built-ins
UserWarning,,,,Built-ins
ValueError,,,,Built-ins
Warning,,,,Built-ins
WindowsError,,,,Built-ins
ZeroDivisionError,,,,Built-ins
_,,,,Built-ins
__build_class__,,,,Built-ins
__debug__,,,,Built-ins
__doc__,,,,Built-ins
__import__,,,,Built-ins
__loader__,,,,Built-ins
__name__,,,,Built-ins
__package__,,,,Built-ins
__spec__,,,,Built-ins
abs,,,,Built-ins
aiter,,,,Built-ins
all,,,,Built-ins
anext,,,,Built-ins
any,,,,Built-ins
ascii,,,,Built-ins
bin,,,,Built-ins
bool,,X,Literal support exists. Function support untested.,Built-ins
breakpoint,,,,Built-ins
bytearray,,,,Built-ins
bytes,,X,Literal support exists. Function support untested.,Built-ins
callable,,,,Built-ins
chr,,,,Built-ins
classmethod,,,,Built-ins
compile,,,,Built-ins
complex,,,,Built-ins
copyright,,,,Built-ins
credits,,,,Built-ins
delattr,,,,Built-ins
dict,,X,Literal support exists. Function support untested.,Built-ins
dir,,,,Built-ins
divmod,,,,Built-ins
enumerate,,X,Looping over an enumerate produces a go range loop.,Built-ins
eval,,,Don't hold your breath.,Built-ins
exec,,,Don't hold your breath.,Built-ins
exit,,,,Built-ins
filter,,,,Built-ins
float,,X,Literal support exists. Function support untested.,Built-ins
format,,,,Built-ins
frozenset,,,,Built-ins
getattr,,,,Built-ins
globals,,,,Built-ins
hasattr,,,,Built-ins
hash,,,,Built-ins
help,,,,Built-ins
hex,,,,Built-ins
id,,,,Built-ins
